--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Mobile,585081,81090,16.15,17.88,0.67,0.71,57.48
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",75455,8259,10.95,15.15,0.81,1.06,8.72
"01 Feb, 2022",72065,8494,11.79,16.39,0.66,0.72,6.1
"31 Jan, 2022",77656,10274,13.23,17.03,0.76,0.57,5.84
"30 Jan, 2022",72821,11764,16.15,21.69,0.67,0.82,9.62
"29 Jan, 2022",74546,10681,14.33,16.74,0.71,0.80,8.57
"28 Jan, 2022",70093,10395,14.83,16.97,0.46,0.48,5.03
"27 Jan, 2022",69250,10729,15.49,20.11,0.72,0.69,7.45
"26 Jan, 2022",73195,10494,14.34,19.22,0.61,0.59,6.15
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Desktop,101518,58959,55.09,59.82,1.18,0.76,44.74
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",12849,7092,55.19,56.67,1.49,1.85,13.13
"01 Feb, 2022",15410,8928,57.94,58.93,1.19,0.68,6.05
"31 Jan, 2022",12782,8087,63.27,65.20,1.68,0.63,5.12
"30 Jan, 2022",10993,6759,61.48,63.60,1.58,0.81,5.48
"29 Jan, 2022",11682,7189,61.54,62.99,1.36,0.75,5.41
"28 Jan, 2022",12032,6628,55.09,56.52,0.66,0.71,4.7
"27 Jan, 2022",14486,7940,54.81,57.91,0.58,0.31,2.49
"26 Jan, 2022",11284,6336,56.15,57.53,0.85,0.37,2.36
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Tablets,5722,679,14.90,24.26,0.00,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",773,117,15.14,19.66,0,0.00,0
"01 Feb, 2022",711,58,8.16,10.13,0,0.00,0
"31 Jan, 2022",537,80,14.90,21.23,0,0.00,0
"30 Jan, 2022",742,155,20.89,28.98,0,0.00,0
"29 Jan, 2022",753,88,11.69,17.26,0,0.00,0
"28 Jan, 2022",676,71,10.50,16.42,0,0.00,0
"27 Jan, 2022",884,41,4.64,54.86,0,0.00,0
"26 Jan, 2022",646,69,10.68,16.87,0,0.00,0
"
","
"
"
","
"
--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"Other devices",164,119,56.25,79.27,0.00,0.00,0
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"02 Feb, 2022",34,26,76.47,88.24,0,0.00,0
"01 Feb, 2022",17,9,52.94,64.71,0,0.00,0
"31 Jan, 2022",0,0,nan,0,0,0,0
"30 Jan, 2022",8,5,62.50,62.50,0,0.00,0
"29 Jan, 2022",45,34,75.56,82.22,0,0.00,0
"28 Jan, 2022",37,29,78.38,78.38,0,0.00,0
"27 Jan, 2022",7,7,100.00,100.00,0,0.00,0
"26 Jan, 2022",16,9,56.25,68.75,0,0.00,0
"
","
"
"
","
"
